DEBUG flower 2021-04-11 22:33:53,177 | numpy_client.py:260 | cached_clock: 19, curr_clock: 22
INFO flower 2021-04-11 22:33:53,177 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:33:53,194 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:35:52,382 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:35:52,412 | numpy_client.py:228 | read: ReadRes(clock=20)
DEBUG flower 2021-04-11 22:35:52,453 | numpy_client.py:172 | fit, FitIns(clock=22)
DEBUG flower 2021-04-11 22:35:52,454 | numpy_client.py:260 | cached_clock: 20, curr_clock: 22
INFO flower 2021-04-11 22:37:10,915 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=22)
DEBUG flower 2021-04-11 22:37:10,934 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:37:12,179 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:37:12,196 | numpy_client.py:172 | fit, FitIns(clock=23)
DEBUG flower 2021-04-11 22:37:12,196 | numpy_client.py:260 | cached_clock: 20, curr_clock: 23
INFO flower 2021-04-11 22:37:12,196 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:37:12,213 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:39:18,543 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:39:18,569 | numpy_client.py:228 | read: ReadRes(clock=21)
DEBUG flower 2021-04-11 22:39:18,609 | numpy_client.py:172 | fit, FitIns(clock=23)
DEBUG flower 2021-04-11 22:39:18,609 | numpy_client.py:260 | cached_clock: 21, curr_clock: 23
INFO flower 2021-04-11 22:40:39,224 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=23)
DEBUG flower 2021-04-11 22:40:39,242 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:40:40,502 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:40:40,516 | numpy_client.py:172 | fit, FitIns(clock=24)
DEBUG flower 2021-04-11 22:40:40,516 | numpy_client.py:260 | cached_clock: 21, curr_clock: 24
INFO flower 2021-04-11 22:40:40,516 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:40:40,531 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:42:42,798 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:42:42,824 | numpy_client.py:228 | read: ReadRes(clock=22)
DEBUG flower 2021-04-11 22:42:42,865 | numpy_client.py:172 | fit, FitIns(clock=24)
DEBUG flower 2021-04-11 22:42:42,865 | numpy_client.py:260 | cached_clock: 22, curr_clock: 24
INFO flower 2021-04-11 22:44:03,603 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=24)
DEBUG flower 2021-04-11 22:44:03,622 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:44:04,779 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:44:04,801 | numpy_client.py:172 | fit, FitIns(clock=25)
DEBUG flower 2021-04-11 22:44:04,801 | numpy_client.py:260 | cached_clock: 22, curr_clock: 25
INFO flower 2021-04-11 22:44:04,801 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:44:04,816 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:46:07,143 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:46:07,169 | numpy_client.py:228 | read: ReadRes(clock=23)
DEBUG flower 2021-04-11 22:46:07,211 | numpy_client.py:172 | fit, FitIns(clock=25)
DEBUG flower 2021-04-11 22:46:07,211 | numpy_client.py:260 | cached_clock: 23, curr_clock: 25
INFO flower 2021-04-11 22:47:25,614 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=25)
DEBUG flower 2021-04-11 22:47:25,635 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:47:26,878 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:47:26,893 | numpy_client.py:172 | fit, FitIns(clock=26)
DEBUG flower 2021-04-11 22:47:26,893 | numpy_client.py:260 | cached_clock: 23, curr_clock: 26
