INFO flower 2021-04-10 16:16:41,938 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:16:41,938 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:17:48,601 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:17:48,602 | numpy_client.py:228 | read: ReadRes(clock=20)
DEBUG flower 2021-04-10 16:17:48,609 | numpy_client.py:172 | fit, FitIns(clock=22)
DEBUG flower 2021-04-10 16:17:48,609 | numpy_client.py:260 | cached_clock: 20, curr_clock: 22
INFO flower 2021-04-10 16:17:51,835 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=22)
DEBUG flower 2021-04-10 16:17:51,836 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:17:51,856 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:17:51,857 | numpy_client.py:172 | fit, FitIns(clock=23)
DEBUG flower 2021-04-10 16:17:51,857 | numpy_client.py:260 | cached_clock: 20, curr_clock: 23
INFO flower 2021-04-10 16:17:51,857 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:17:51,857 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:19:17,324 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:19:17,325 | numpy_client.py:228 | read: ReadRes(clock=21)
DEBUG flower 2021-04-10 16:19:17,333 | numpy_client.py:172 | fit, FitIns(clock=23)
DEBUG flower 2021-04-10 16:19:17,333 | numpy_client.py:260 | cached_clock: 21, curr_clock: 23
INFO flower 2021-04-10 16:19:20,537 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=23)
DEBUG flower 2021-04-10 16:19:20,538 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:19:20,558 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:19:20,559 | numpy_client.py:172 | fit, FitIns(clock=24)
DEBUG flower 2021-04-10 16:19:20,559 | numpy_client.py:260 | cached_clock: 21, curr_clock: 24
INFO flower 2021-04-10 16:19:20,559 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:19:20,559 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:20:28,401 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:20:28,402 | numpy_client.py:228 | read: ReadRes(clock=22)
DEBUG flower 2021-04-10 16:20:28,409 | numpy_client.py:172 | fit, FitIns(clock=24)
DEBUG flower 2021-04-10 16:20:28,409 | numpy_client.py:260 | cached_clock: 22, curr_clock: 24
INFO flower 2021-04-10 16:20:31,707 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=24)
DEBUG flower 2021-04-10 16:20:31,708 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:20:31,728 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:20:31,729 | numpy_client.py:172 | fit, FitIns(clock=25)
DEBUG flower 2021-04-10 16:20:31,729 | numpy_client.py:260 | cached_clock: 22, curr_clock: 25
INFO flower 2021-04-10 16:20:31,729 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:20:31,729 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:21:54,212 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:21:54,213 | numpy_client.py:228 | read: ReadRes(clock=23)
DEBUG flower 2021-04-10 16:21:54,221 | numpy_client.py:172 | fit, FitIns(clock=25)
DEBUG flower 2021-04-10 16:21:54,221 | numpy_client.py:260 | cached_clock: 23, curr_clock: 25
